Designator,Mid X,Mid Y,Rotation,Layer
.5,198.1775,-116.0935,0.0,top
C1,201.676,-85.979,270.0,top
C10,198.12,-46.736,180.0,top
C12,184.404,-83.058,90.0,top
C13,210.312,-41.783,270.0,top
C14,177.581,-41.962,270.0,top
C15,213.741,-112.395,270.0,top
C16,173.609,-112.268,270.0,top
C2,227.457,-61.214,0.0,top
C3,160.02,-60.706,0.0,top
C4,160.512,-107.315,0.0,top
C5,226.822,-106.934,0.0,top
C6,209.042,-79.74,180.0,top
C7,209.804,-90.789,180.0,top
C8,184.023,-120.523,180.0,top
C9,178.435,-126.238,180.0,top
H3,181.864,-49.911,90.0,top
H4,204.724,-49.911,90.0,top
H6,209.8605,-85.217,90.0,top
J1,160.401,-69.215,270.0,top
J2,225.298,-69.469,270.0,top
J3,160.401,-99.314,270.0,top
J4,224.536,-98.552,270.0,top
J5,179.197,-84.709,270.0,top
LOGO1,178.45,-123.073,0.0,top
LOGO5,189.484,-114.704,0.0,top
P3,188.844,-42.037,90.0,top
P4,199.141,-41.91,270.0,top
QWIIC-LOGO-MEDIUM1,173.527,-90.907,0.0,top
R10,227.965,-127.0,0.0,top
R11,221.615,-41.402,0.0,top
R12,178.562,-110.617,0.0,top
R2,227.33,-40.894,0.0,top
R3,180.467,-113.157,0.0,top
R5,161.163,-40.64,0.0,top
R6,166.243,-41.783,0.0,top
R7,159.893,-127.254,0.0,top
R8,166.497,-125.222,0.0,top
R9,220.599,-124.46,180.0,top
U11,166.853,-130.175,0.0,top
U12,219.812,-129.921,0.0,top
U13,218.948,-67.569,180.0,top
U14,218.948,-101.722,0.0,top
U15,167.361,-36.83,0.0,top
U16,196.215,-109.601,0.0,top
U17,220.193,-36.83,0.0,top
U18,218.288,-55.245,0.0,top
U19,169.266,-55.245,0.0,top
U2,178.816,-117.094,0.0,top
U20,227.433,-46.228,0.0,top
U21,227.687,-122.047,0.0,top
U22,33.782,-55.118,0.0,top
U23,75.184,-55.372,0.0,top
U24,159.917,-122.174,180.0,top
U25,169.393,-113.157,0.0,top
U26,218.288,-113.157,0.0,top
U28,177.038,-68.0555,0.0,top
U29,204.089,-36.576,0.0,top
U3,194.056,-130.7715,0.0,top
U30,177.292,-36.703,0.0,top
U31,183.896,-130.937,0.0,top
U32,177.165,-130.937,0.0,top
U33,189.5475,-91.613,180.0,top
U34,203.327,-68.0555,0.0,top
U39,160.171,-46.228,180.0,top
U4,193.595,-84.686,0.0,top
U40,181.483,-36.703,0.0,top
U41,208.661,-36.576,0.0,top
U42,202.311,-130.937,0.0,top
U43,209.677,-130.937,0.0,top
U45,161.163,-48.133,270.0,top
U48,160.782,-121.158,90.0,top
U49,226.695,-120.904,90.0,top
U5,192.024,-97.536,0.0,top
U50,192.015,-72.227,0.0,top
U51,191.897,-97.536,0.0,top
U52,176.149,-101.1085,180.0,top
U53,202.184,-100.9815,180.0,top
U55,195.914,-48.8585,0.0,top
U6,226.441,-47.244,270.0,top
U7,192.024,-75.057,0.0,top
U8,33.909,20.574,0.0,top
U9,75.311,20.574,0.0,top
